date,rate
2005/1/1,0
2005/2/1,0
2005/3/1,0
2005/4/1,0.0185 
2005/5/1,0.0650 
2005/6/1,0.1950 
2005/7/1,0.2739 
2005/8/1,0.1207 
2005/9/1,0.0928 
2005/10/1,0.1160 
2005/11/1,0.1578 
2005/12/1,0.0510 
2006/1/1,0.0046 
2006/2/1,0.0139 
2006/3/1,0.0092 
2006/4/1,0.1532 
2006/5/1,0.6825 
2006/6/1,2.4842 
2006/7/1,2.2845 
2006/8/1,1.1562 
2006/9/1,0.6500 
2006/10/1,1.2537 
2006/11/1,1.0865 
2006/12/1,0.4782 
2007/1/1,0.0975 
2007/2/1,0.0325 
2007/3/1,0.2460 
2007/4/1,1.0029 
2007/5/1,2.3402 
2007/6/1,13.7723 
2007/7/1,16.1497 
2007/8/1,6.0224 
2007/9/1,4.0165 
2007/10/1,3.1296 
2007/11/1,3.0878 
2007/12/1,1.2351 
2008/1/1,0.3250 
2008/2/1,0.1114 
2008/3/1,0.6872 
2008/4/1,4.1558 
2008/5/1,30.5581 
2008/6/1,16.6651 
2008/7/1,16.8880 
2008/8/1,5.1820 
2008/9/1,2.8974 
2008/10/1,3.3107 
2008/11/1,3.7147 
2008/12/1,1.1144 
2009/1/1,0.2925 
2009/2/1,0.7197 
2009/3/1,5.7206 
2009/4/1,16.1357 
2009/5/1,20.5888 
2009/6/1,18.3321 
2009/7/1,16.1357 
2009/8/1,12.2167 
2009/9/1,9.6536 
2009/10/1,6.3243 
2009/11/1,4.9684 
2009/12/1,2.5956 
2010/1/1,0.6361 
2010/2/1,0.6222 
2010/3/1,5.0009 
2010/4/1,20.1337 
2010/5/1,43.8150 
2010/6/1,55.1913 
2010/7/1,38.5123 
2010/8/1,15.7875 
2010/9/1,12.4535 
2010/10/1,8.0516 
2010/11/1,7.4201 
2010/12/1,3.2271 
2011/1/1,0.5154 
2011/2/1,0.3575 
2011/3/1,1.1654 
2011/4/1,4.1604 
2011/5/1,15.5182 
2011/6/1,29.6945 
2011/7/1,26.8759 
2011/8/1,17.2780 
2011/9/1,12.5418 
2011/10/1,13.0572 
2011/11/1,15.3835 
2011/12/1,6.6679 
2012/1/1,1.4765 
2012/2/1,1.6205 
2012/3/1,3.4779 
2012/4/1,9.4632 
2012/5/1,36.2927 
2012/6/1,49.5218 
2012/7/1,41.8091 
2012/8/1,14.1205 
2012/9/1,7.7591 
2012/10/1,5.9296 
2012/11/1,5.1309 
2012/12/1,2.2984 
2013/1/1,0.7475 
2013/2/1,0.5525 
2013/3/1,3.5614 
2013/4/1,10.2990 
2013/5/1,20.1894 
2013/6/1,37.5604 
2013/7/1,43.2207 
2013/8/1,16.0475 
2013/9/1,8.0470 
2013/10/1,6.7189 
2013/11/1,6.5750 
2013/12/1,3.2550 
2014/1/1,0.9843 
2014/2/1,1.4533 
2014/3/1,7.0533 
2014/4/1,23.7416 
2014/5/1,43.8986 
2014/6/1,57.0069 
2014/7/1,38.6794 
2014/8/1,12.8157 
2014/9/1,10.4151 
2014/10/1,13.3544 
2014/11/1,8.0980 
2014/12/1,2.7117 
2015/1/1,1.0308 
2015/2/1,0.3203 
2015/3/1,2.1777 
2015/4/1,7.4712 
2015/5/1,19.4279 
2015/6/1,33.0563 
2015/7/1,29.1930 
2015/8/1,17.3430 
2015/9/1,6.6121 
2015/10/1,6.1246 
2015/11/1,7.1043 
2015/12/1,3.2968 
2016/1/1,1.2444 
2016/2/1,0.7429 
2016/3/1,1.6530 
2016/4/1,4.2301 
2016/5/1,14.5245 
2016/6/1,27.4889 
2016/7/1,28.8912 
2016/8/1,21.1274 
2016/9/1,11.7802 
2016/10/1,13.1872 
2016/11/1,11.3298 
2016/12/1,4.2162 
2017/1/1,1.3094 
2017/2/1,1.0540 
2017/3/1,1.2583 
2017/4/1,2.2288 
2017/5/1,6.1710 
2017/6/1,9.8254 
2017/7/1,17.4591 
2017/8/1,14.3945 
2017/9/1,10.1040 
2017/10/1,11.2834 
2017/11/1,13.3497 
2017/12/1,4.2626 
2018/1/1,0.5757 
2018/2/1,0.2832 
2018/3/1,0.8961 
2018/4/1,2.3124 
2018/5/1,9.1010 
2018/6/1,19.4140 
2018/7/1,39.0463 
2018/8/1,40.3975 
2018/9/1,18.0488 
2018/10/1,11.2277 
2018/11/1,7.5269 
2018/12/1,2.8138 
2019/1/1,0.9101 
2019/2/1,0.5943 
2019/3/1,0.9286 
2019/4/1,1.6623 
2019/5/1,4.8848 
2019/6/1,9.9136 
2019/7/1,13.6794 
2019/8/1,14.1669 
2019/9/1,8.2606 
2019/10/1,9.7557 
2019/11/1,10.6565 
2019/12/1,5.1820 
