date,rate
2005/1/1,0.0008 
2005/2/1,0.0000 
2005/3/1,0.0000 
2005/4/1,0.0000 
2005/5/1,0.0017 
2005/6/1,0.0017 
2005/7/1,0.0008 
2005/8/1,0.0000 
2005/9/1,0.0052 
2005/10/1,0.0147 
2005/11/1,0.0104 
2005/12/1,0.0060 
2006/1/1,0.0034 
2006/2/1,0.0000 
2006/3/1,0.0043 
2006/4/1,0.0312 
2006/5/1,0.0685 
2006/6/1,0.1406 
2006/7/1,0.0737 
2006/8/1,0.0338 
2006/9/1,0.0512 
2006/10/1,0.0755 
2006/11/1,0.0581 
2006/12/1,0.0407 
2007/1/1,0.0164 
2007/2/1,0.0095 
2007/3/1,0.0130 
2007/4/1,0.0251 
2007/5/1,0.0789 
2007/6/1,0.1727 
2007/7/1,0.1085 
2007/8/1,0.0520 
2007/9/1,0.0677 
2007/10/1,0.0581 
2007/11/1,0.0529 
2007/12/1,0.0364 
2008/1/1,0.0607 
2008/2/1,0.0112 
2008/3/1,0.0529 
2008/4/1,0.9313 
2008/5/1,22.4883 
2008/6/1,6.6142 
2008/7/1,3.3678 
2008/8/1,1.5198 
2008/9/1,1.7195 
2008/10/1,2.4634 
2008/11/1,2.4538 
2008/12/1,0.7412 
2009/1/1,0.4695 
2009/2/1,0.6136 
2009/3/1,4.3487 
2009/4/1,12.5592 
2009/5/1,8.9752 
2009/6/1,11.7641 
2009/7/1,9.1522 
2009/8/1,5.4250 
2009/9/1,8.5064 
2009/10/1,8.7226 
2009/11/1,5.4493 
2009/12/1,4.8061 
2010/1/1,6.1290 
2010/2/1,3.8609 
2010/3/1,10.9820 
2010/4/1,28.5488 
2010/5/1,36.1820 
2010/6/1,29.6034 
2010/7/1,23.1055 
2010/8/1,14.5087 
2010/9/1,15.9166 
2010/10/1,15.8923 
2010/11/1,6.8442 
2010/12/1,5.1342 
2011/1/1,2.4078 
2011/2/1,1.0060 
2011/3/1,2.6274 
2011/4/1,7.8554 
2011/5/1,32.5217 
2011/6/1,41.8415 
2011/7/1,39.1081 
2011/8/1,22.8121 
2011/9/1,23.7383 
2011/10/1,22.9614 
2011/11/1,26.3675 
2011/12/1,14.5018 
2012/1/1,5.1334 
2012/2/1,5.3721 
2012/3/1,17.0268 
2012/4/1,39.2808 
2012/5/1,59.0819 
2012/6/1,33.5476 
2012/7/1,22.3434 
2012/8/1,16.5755 
2012/9/1,29.2545 
2012/10/1,24.2842 
2012/11/1,19.0727 
2012/12/1,16.0460 
2013/1/1,6.8277 
2013/2/1,2.9772 
2013/3/1,7.6193 
2013/4/1,16.8749 
2013/5/1,39.8963 
2013/6/1,56.8086 
2013/7/1,56.0473 
2013/8/1,44.6825 
2013/9/1,49.8610 
2013/10/1,18.6309 
2013/11/1,6.0847 
2013/12/1,4.3504 
2014/1/1,3.2585 
2014/2/1,3.3236 
2014/3/1,14.1685 
2014/4/1,55.9258 
2014/5/1,94.2710 
2014/6/1,71.3902 
2014/7/1,39.4466 
2014/8/1,19.2359 
2014/9/1,29.4506 
2014/10/1,22.9154 
2014/11/1,11.5445 
2014/12/1,7.8641 
2015/1/1,3.6482 
2015/2/1,1.6674 
2015/3/1,5.4146 
2015/4/1,16.0972 
2015/5/1,47.5061 
2015/6/1,56.0343 
2015/7/1,53.8330 
2015/8/1,42.4708 
2015/9/1,44.0011 
2015/10/1,29.1876 
2015/11/1,15.4036 
2015/12/1,8.6748 
2016/1/1,6.7774 
2016/2/1,2.1882 
2016/3/1,5.3599 
2016/4/1,26.7225 
2016/5/1,82.6422 
2016/6/1,60.9611 
2016/7/1,30.6537 
2016/8/1,13.3907 
2016/9/1,20.2141 
2016/10/1,26.7138 
2016/11/1,29.5183 
2016/12/1,15.1979 
2017/1/1,6.2184 
2017/2/1,3.5614 
2017/3/1,5.4892 
2017/4/1,13.0244 
2017/5/1,34.3315 
2017/6/1,57.9812 
2017/7/1,49.7924 
2017/8/1,37.5500 
2017/9/1,61.1130 
2017/10/1,70.6689 
2017/11/1,10.6279 
2017/12/1,4.2324 
2018/1/1,1.3349 
2018/2/1,0.6970 
2018/3/1,2.0606 
2018/4/1,6.7670 
2018/5/1,45.4645 
2018/6/1,44.0853 
2018/7/1,35.8591 
2018/8/1,20.2975 
2018/9/1,33.3254 
2018/10/1,28.2354 
2018/11/1,21.2124 
2018/12/1,17.7985 
2019/1/1,8.7738 
2019/2/1,3.2958 
2019/3/1,8.3198 
2019/4/1,28.3014 
2019/5/1,53.1490 
2019/6/1,68.0224 
2019/7/1,77.7580 
2019/8/1,46.0557 
2019/9/1,46.6485 
2019/10/1,17.0728 
2019/11/1,4.1082 
2019/12/1,1.6127 
