date,rate
2006/11/1,0.002
2006/12/1,0.0041
2007/1/1,0.0144
2007/2/1,0.0185
2007/3/1,0.0123
2007/4/1,0.0123
2007/5/1,0.037
2007/6/1,0.0185
2007/7/1,0.0246
2007/8/1,0.0041
2007/9/1,0.002
2007/10/1,0.002
2007/11/1,0.0102
2007/12/1,0.0082
2008/1/1,0.0185
2008/2/1,0.0164
2008/3/1,0.0432
2008/4/1,0.2758
2008/5/1,10.8617
2008/6/1,5.8435
2008/7/1,2.7025
2008/8/1,1.0394
2008/9/1,0.5969
2008/10/1,0.5536
2008/11/1,0.7533
2008/12/1,0.7595
2009/1/1,0.8171
2009/2/1,0.3787
2009/3/1,0.8541
2009/4/1,4.3553
2009/5/1,6.2469
2009/6/1,5.3248
2009/7/1,4.2895
2009/8/1,2.474
2009/9/1,2.3032
2009/10/1,1.7598
2009/11/1,1.0085
2009/12/1,1.2082
2010/1/1,0.9488
2010/2/1,0.6195
2010/3/1,2.3073
2010/4/1,7.9594
2010/5/1,19.6506
2010/6/1,18.1604
2010/7/1,11.3433
2010/8/1,6.4775
2010/9/1,5.8929
2010/10/1,7.0805
2010/11/1,8.7828
2010/12/1,10.7876
2011/1/1,6.3375
2011/2/1,2.6634
2011/3/1,5.0552
2011/4/1,11.9814
2011/5/1,17.7982
2011/6/1,12.9035
2011/7/1,6.92
2011/8/1,2.9145
2011/9/1,2.684
2011/10/1,3.0442
2011/11/1,3.5979
2011/12/1,4.4953
2012/1/1,3.7111
2012/2/1,2.1838
2012/3/1,4.1145
2012/4/1,8.4555
2012/5/1,16.1289
2012/6/1,23.8578
2012/7/1,15.1532
2012/8/1,7.0702
2012/9/1,10.0527
2012/10/1,12.7697
2012/11/1,12.0411
2012/12/1,11.8044
2013/1/1,9.287
2013/2/1,4.6661
2013/3/1,8.3052
2013/4/1,17.0489
2013/5/1,22.2379
2013/6/1,19.1875
2013/7/1,11.8743
2013/8/1,5.4771
2013/9/1,4.8123
2013/10/1,4.555
2013/11/1,6.3951
2013/12/1,6.3087
2014/1/1,4.6826
2014/2/1,3.39
2014/3/1,8.2579
2014/4/1,17.2301
2014/5/1,25.1731
2014/6/1,26.83
2014/7/1,20.2949
2014/8/1,9.0565
2014/9/1,9.6308
2014/10/1,12.7471
2014/11/1,15.4208
2014/12/1,17.3639
2015/1/1,17.4647
2015/2/1,9.8057
2015/3/1,12.8335
2015/4/1,20.5213
2015/5/1,27.005
2015/6/1,25.8647
2015/7/1,15.4167
2015/8/1,7.3234
2015/9/1,8.0521
2015/10/1,8.8548
2015/11/1,7.8895
2015/12/1,9.1059
2016/1/1,9.9725
2016/2/1,5.4298
2016/3/1,8.0253
2016/4/1,13.1176
2016/5/1,21.1306
2016/6/1,33.1655
2016/7/1,24.533
2016/8/1,8.1653
2016/9/1,8.3423
2016/10/1,13.169
2016/11/1,15.7357
2016/12/1,15.6328
2017/1/1,14.1261
2017/2/1,7.3831
2017/3/1,7.2946
2017/4/1,10.5941
2017/5/1,14.8795
2017/6/1,18.2592
2017/7/1,18.6524
2017/8/1,8.7004
2017/9/1,8.4802
2017/10/1,11.4915
2017/11/1,10.4788
2017/12/1,10.8123
2018/1/1,8.5955
2018/2/1,4.2545
2018/3/1,6.0143
2018/4/1,14.8671
2018/5/1,26.2866
2018/6/1,31.9758
2018/7/1,28.1494
2018/8/1,11.6932
2018/9/1,13.6177
2018/10/1,22.6619
2018/11/1,25.9594
2018/12/1,24.533
2019/1/1,18.3045
2019/2/1,7.7248
2019/3/1,8.1365
2019/4/1,11.4277
2019/5/1,13.451
2019/6/1,24.7553
2019/7/1,32.3834
2019/8/1,16.7114
2019/9/1,22.7175
2019/10/1,24.2983
2019/11/1,19.0167
2019/12/1,13.8565
