text_data,LIGHTGBM,LSTM,N-BEATS,CNN-BiLSTM,ARIMA,prophet
8.48E+00,8.06E+00,8.86E+00,7.86E+00,8.08E+00,1.67E+01,2.58E+01
1.15E+01,1.16E+01,1.08E+01,1.13E+01,1.16E+01,1.35E+01,2.00E+01
1.05E+01,1.38E+01,1.38E+01,1.45E+01,1.50E+01,9.36E+00,1.37E+01
1.08E+01,7.39E+00,7.99E+00,7.75E+00,6.79E+00,8.61E+00,1.38E+01
8.60E+00,9.41E+00,1.04E+01,1.00E+01,9.31E+00,1.22E+01,1.49E+01
4.25E+00,6.82E+00,7.53E+00,7.29E+00,7.47E+00,1.65E+01,1.59E+01
6.01E+00,4.91E+00,6.20E+00,4.76E+00,5.32E+00,1.73E+01,1.65E+01
1.49E+01,1.38E+01,1.17E+01,1.06E+01,1.11E+01,1.38E+01,1.56E+01
2.63E+01,2.02E+01,2.10E+01,2.05E+01,2.11E+01,9.55E+00,1.28E+01
3.20E+01,2.85E+01,2.47E+01,2.55E+01,2.27E+01,8.86E+00,1.46E+01
2.81E+01,2.24E+01,2.29E+01,2.31E+01,2.30E+01,1.24E+01,1.96E+01
1.17E+01,1.40E+01,1.52E+01,1.48E+01,1.58E+01,1.66E+01,2.59E+01
1.36E+01,9.11E+00,9.10E+00,9.06E+00,9.59E+00,1.72E+01,2.73E+01
2.27E+01,1.78E+01,1.89E+01,1.87E+01,1.45E+01,1.36E+01,2.15E+01
2.60E+01,2.83E+01,2.91E+01,2.57E+01,2.79E+01,9.54E+00,1.53E+01
2.45E+01,2.24E+01,2.05E+01,1.93E+01,1.94E+01,9.01E+00,1.54E+01
1.83E+01,1.53E+01,1.59E+01,1.50E+01,1.58E+01,1.25E+01,1.66E+01
7.72E+00,9.87E+00,1.06E+01,1.05E+01,1.08E+01,1.66E+01,1.75E+01
8.14E+00,9.16E+00,7.71E+00,8.37E+00,8.65E+00,1.70E+01,1.80E+01
1.14E+01,1.14E+01,1.08E+01,1.13E+01,1.28E+01,1.35E+01,1.71E+01
1.35E+01,1.51E+01,1.42E+01,1.52E+01,1.51E+01,9.54E+00,1.43E+01
2.48E+01,1.27E+01,1.25E+01,1.25E+01,1.34E+01,9.16E+00,1.62E+01
3.24E+01,3.17E+01,2.99E+01,2.55E+01,2.79E+01,1.27E+01,2.12E+01
1.67E+01,2.32E+01,2.39E+01,2.41E+01,2.40E+01,1.66E+01,2.75E+01
2.27E+01,9.36E+00,7.79E+00,6.54E+00,8.40E+00,1.69E+01,2.89E+01
2.43E+01,2.13E+01,2.52E+01,2.69E+01,2.19E+01,1.33E+01,2.30E+01
1.90E+01,1.74E+01,1.85E+01,1.76E+01,1.90E+01,9.54E+00,1.68E+01
1.39E+01,1.10E+01,1.11E+01,1.02E+01,1.06E+01,9.30E+00,1.70E+01
