true_date,lstm_unenhance,lstm_enhance,cnn-bilstm_unenhance,cnn-bilstm_enhance,lightGBM_unenhance,lightGBM_enhance,NBEATS_unenhance,NBEATS_enhance
8.48E+00,8.02E+00,8.69E+00,7.00E+00,8.08E+00,8.63E+00,7.63E+00,1.63E+00,7.60E+00
1.15E+01,8.60E+00,1.03E+01,1.09E+01,1.17E+01,1.01E+01,1.09E+01,5.69E+00,1.11E+01
1.05E+01,1.11E+01,1.37E+01,1.48E+01,1.53E+01,1.34E+01,1.37E+01,9.61E+00,1.52E+01
1.08E+01,9.85E+00,7.62E+00,9.43E+00,9.14E+00,6.38E+00,7.21E+00,3.09E+00,8.07E+00
8.60E+00,1.01E+01,9.70E+00,1.07E+01,9.37E+00,7.28E+00,9.37E+00,5.39E+00,1.01E+01
4.25E+00,8.18E+00,6.95E+00,7.41E+00,7.49E+00,7.33E+00,6.46E+00,1.47E+00,7.28E+00
6.01E+00,4.74E+00,6.22E+00,5.64E+00,5.31E+00,5.25E+00,5.66E+00,-1.373007536,4.60E+00
1.49E+01,8.42E+00,1.12E+01,1.23E+01,1.19E+01,9.98E+00,1.39E+01,4.82E+00,9.21E+00
2.63E+01,1.28E+01,2.15E+01,2.10E+01,2.20E+01,2.05E+01,2.19E+01,1.43E+01,2.03E+01
3.20E+01,1.34E+01,2.57E+01,2.23E+01,2.45E+01,2.18E+01,2.85E+01,2.10E+01,2.57E+01
2.81E+01,1.35E+01,2.50E+01,2.13E+01,2.30E+01,1.81E+01,2.13E+01,1.96E+01,2.34E+01
1.17E+01,1.35E+01,1.37E+01,1.14E+01,1.40E+01,9.51E+00,1.44E+01,6.58E+00,1.52E+01
1.36E+01,1.03E+01,7.52E+00,8.17E+00,8.86E+00,7.29E+00,9.48E+00,1.95E+00,9.24E+00
2.27E+01,1.21E+01,1.65E+01,1.64E+01,1.52E+01,1.23E+01,1.80E+01,1.28E+01,1.78E+01
2.60E+01,1.34E+01,2.83E+01,2.19E+01,2.75E+01,2.21E+01,2.88E+01,2.03E+01,2.73E+01
2.45E+01,1.35E+01,2.11E+01,2.02E+01,1.97E+01,1.76E+01,2.26E+01,1.49E+01,1.94E+01
1.83E+01,1.35E+01,1.64E+01,1.35E+01,1.51E+01,1.08E+01,1.44E+01,7.56E+00,1.50E+01
7.72E+00,1.33E+01,1.07E+01,9.06E+00,1.08E+01,1.01E+01,9.42E+00,3.07E+00,1.04E+01
8.14E+00,7.23E+00,6.33E+00,7.38E+00,8.45E+00,8.58E+00,9.59E+00,1.43E+00,7.94E+00
1.14E+01,8.92E+00,1.02E+01,1.26E+01,1.25E+01,9.58E+00,1.03E+01,5.92E+00,1.12E+01
1.35E+01,1.12E+01,1.49E+01,1.52E+01,1.56E+01,1.23E+01,1.44E+01,9.70E+00,1.49E+01
2.48E+01,1.22E+01,1.32E+01,1.58E+01,1.39E+01,1.44E+01,1.29E+01,7.46E+00,1.29E+01
3.24E+01,1.34E+01,2.86E+01,2.24E+01,2.73E+01,2.21E+01,3.20E+01,2.32E+01,2.64E+01
1.67E+01,1.35E+01,2.61E+01,2.19E+01,2.37E+01,2.14E+01,2.26E+01,2.11E+01,2.46E+01
2.27E+01,1.31E+01,6.87E+00,8.43E+00,8.38E+00,1.04E+01,9.67E+00,7.81E-01,6.00E+00
2.43E+01,1.34E+01,2.33E+01,1.89E+01,2.06E+01,1.56E+01,2.08E+01,2.22E+01,2.65E+01
1.90E+01,1.35E+01,1.85E+01,1.87E+01,1.89E+01,1.78E+01,1.74E+01,1.23E+01,1.82E+01
1.39E+01,1.33E+01,1.13E+01,9.20E+00,1.10E+01,9.86E+00,1.09E+01,3.23E+00,1.04E+01
